property_type;place_name;state_name;lat;lon;price;currency;price_aprox_local_currency;price_aprox_usd;surface_total_in_m2;surface_covered_in_m2;price_usd_per_m2;price_per_m2;floor;rooms;expenses;properati_url;description;title
apartment;Palermo;Capital Federal;-34.580503566;-58.4058744847;350000.0;USD;6175575.0;350000.0;104.0;96.0;3365.384615384615;3645.833333333334;;3.0;;http://www.properati.com.ar/15bq8_venta_departamentos_palermo_balcon_baulera_suite_toilette_vestidor_luminoso_impecable_rg-montes_du0;Excelente semipiso al contra frente en Bulnes y Libertador. Espectacular pulmón muy luminoso con árboles. Buen edificio con entrada reciclada hace dos años. Hall de entrada. Living comedor de muy buenas dimensiones con salida al balcón aterrazado. Toilette de recpeción. Master Suite muy grande con vestidor y gran baño (revestimientos de marmol) también al frente. Segundo dormitorio o escritorio (chico) a aire luz muy luminoso. Muy linda cocina con muebles alemanes. Pisos de parquet. Persianas eléctricas. Aislación acústica en paredes. Detalles de muy buena calidad. Baulera común. La unidad originalmente era de dos dormitorios pero fue refaccionada al plano actual (master suite más dormitorio chico o escritorio). Impecable! ;Bulnes y Libertador: espectacular pulmón, con balcón aterrazado reciclado a nuevo!
apartment;Palermo;Capital Federal;-34.590926;-58.4116653;270500.0;USD;4772837.25;270500.0;118.0;73.0;2292.372881355933;3705.479452054794;;4.0;;http://www.properati.com.ar/15bqd_venta_departamentos_palermo_patio_subte-linea-d_migliorisi-propiedades_cy2;EXCELENTE ZONA, MULTIPLES MEDIOS DE TRANSPORTE - DOS PATIOS - MUY BUEN ESTADO - A CUADRAS DE AV.SANTA FE.;Departamento de 4 ambientes en Venta en Palermo
PH;Palermo;Capital Federal;-34.585483;-58.428493;315000.0;USD;5558017.5;315000.0;240.0;200.0;1312.5;1575.0;;;;http://www.properati.com.ar/15dhw_venta_ph_palermo_baulera_lavadero_patio_terraza_garage_subte-linea-d_estilo-inmobiliario_dl8;PB : Hall, living comedor con hogar, patio cubierto, 2 dormitorios cocina, baño, garage y patio PA : 3 dormitorios, baño, toillete, lavadero con baulera y 2 terrazas en desnivel (toda la planta alta esta sin terminar) Total : 240 M2 cubiertos 200 M2 terraza y patio 40 M2 Ideal Viivienda y/o empredimiento!!! Uso Profesional o Comercial!!!      Aviso publicado por Pixel Inmobiliario (Servicio de Páginas Web para Inmobiliarias).;NICARAGUA 4970 PH DOS PLANTAS VENTA   
apartment;Palermo;Capital Federal;-34.5888617;-58.41230720000001;147300.0;USD;2599034.85;147300.0;39.0;35.0;3776.9230769230767;4208.571428571428;;1.0;;http://www.properati.com.ar/15dn0_venta_departamento_palermo_balcon_lavadero_parrilla_sum_luminoso_garage_impecable_aire-acondicionado_estrenar_subte-linea-d_caian-negocios-inmobiliarios_dz9;IMPECABLE TORRE COY III – DEPARTAMENTO DE UN AMBIENTE A ESTRENAR – BALCON AL FRENTE – COCINA INTEGRADA –BAÑO COMPLETO – PISOS DE PORCELANATO – AIRE ACONDICIONADO FRIO / CALOR - SUPER LUMINOSO – SEGURIDAD POR CAMARAS LAS 24 HORAS – EL EDIFICO CUENTA CON LAUNDRY, SUM Y PARRILLA - EXCELENTE UBICACION A MEDIA CUADRA DEL SHOPPING ALTO PALERMO - A 200 MTS DEL SUBTE D ESTACION BULNES – A METROS DE LA AV. SANTA FE Y CORONEL DIAZ – A METROS DE PLAZA GUEMES Y PARQUE LAS HERAS - IMPERDIBLE.La publicación de este inmueble es a solo título informativo, pues la venta de la propiedad está supeditada a que el propietario cumplimente el trámite ante la AFIP para la obtención del Número de COTI correspondiente.CONSÚLTENOS- SUCURSAL PALERMO- .  ;BULNES AL 1900 - VENTA - 1 AMB C/ BALCON AL FRENTE - A ESTRENAR - MUY LUMINOSO
apartment;Palermo;Capital Federal;-34.5664787494;-58.4340748222;440000.0;USD;7763580.0;440000.0;175.0;175.0;2514.285714285714;2514.285714285714;;4.0;;http://www.properati.com.ar/15dpv_venta_departamento_palermo_luminoso_placard_arquicasa-propiedades;Excelente ubicación en el barrio de Cañitas4 AmbDependencia con baño3 dormitorios, uno de ellos en suiteBalcon aterrazadoParrilla propiaCochera en PBSeguridad 24 hsPisos de alfombraToilette Placard de recepcionCalefaccion por losa radianteComedor diarioParrilla con patioDependencia con bañoLavadero independienteAgua caliente por termotanqueCocina horno empotradoEntrada de servicio, doble circulacionLas medidas son Aproximadas y al solo efecto orientativo, las medidas reales surgirán del Título de Propiedad respectivo.-. Importante: La venta de los Inmuebles referidos se encuentra sujeta a la tramitación del Código de Oferta de Transferencia de Inmuebles (C.O.T.I.) por parte del propietario. ;Piso 4 amb con dependencia y cochera en Venta Cañitas
apartment;Palermo;Capital Federal;;;770000.0;USD;13586265.0;770000.0;;153.0;;5032.679738562091;;4.0;;http://www.properati.com.ar/15du5_venta_departamento_palermo_baulera_suite_gimnasio_parrilla_piscina_quincho_sum_terraza_vestidor_luminoso_lujoso_dependencias_garage_amenities_placard_subte-linea-d_puerto-madero;Venta - Departamento - Argentina, Buenos Aires, Capital Federal, Palermo - 3 DormitoriosIncreíble Semipiso de 3 SUITES, la principal con vestidor,  baño con yacuzzi y cuarto de ducha, living comedor apaisado con ventanales enormes que hacen que sea muy luminoso, las otras dos suites muy cómodas con placard, interior completo y puertas espejadas, cocina comedor diario muy grande, con muebles de muy alta calidad, también con ventana grande, buena dependencia que se puede utilizar como una cuarta suite. Palier Privado y entrada de servicio. Se vende con dos cocheras y una baulera, el valor es a parte. La entrega esta prevista para el mes de Diciembre del año 2018.Forma de pago 40% al boleto en dolares, 5% a los 9 meses en dolares, el 5% a los 18 meses en dolares  y el saldo del 50% en 22 cuotas en Pesos ajustadas por CAC.El edificio cuenta con todos los amenities, Piscina en la terraza, quincho con parrilla, gimnasio, SUM, gran parque y vigilancia las 24 hs. - CUCICBA Mat. 911;Departamento en Venta ubicado en Palermo
apartment;Palermo;Capital Federal;-34.590242879899996;-58.4364018732;179000.0;USD;3158365.5;179000.0;70.0;61.0;2557.142857142857;2934.426229508197;;3.0;;http://www.properati.com.ar/15ed7_venta_departamento_palermo_balcon_toilette_luminoso_lujoso_openprop_ekg;EMPRENDIMIENTO A ESTRENAR *** Av. Córdoba 5202 y Uriarte ***  - Palermo. Amplio y muy luminoso 3 ambientes con baño y toilette en edificio en esquina.Todos los ambientes al exterior. Living con balcón aterrazado, 2 dormitorios con amplios placards. Apto profesional. Detalles de categoría. Completo equipamiento. Sup total: 70 m2. Entrega: septiembre 2017. Consultar por otras unidades disponibles en el edificio.;A ESTRENAR amplio 2 dormitorios con 2 baños - Av Cordoba y Uriarte
apartment;Palermo;Capital Federal;-34.584641;-58.411582;379900.0;USD;6703145.55;379900.0;;175.0;;2170.8571428571427;2.0;5.0;;http://www.properati.com.ar/15el0_venta_departamento_palermo_balcon_baulera_suite_lavadero_toilette_lujoso_dependencias_garage_losa-radiante_subte-linea-d_re-max-ayres;Corredor Responsable: Raul Hector Merlo - CUCICBA 2407Contacto: Cora Solari - MLS ID # 61096-42Excelente piso en esquina, muy buena ubicación a refaccionar.  Superficie cubierta de 153.20mt, balcones (2) 21.16mt, Superficie total del mismo de 174.36 mt.  Palier privado, Hall de recepción, Toilette de visita. Living apaisado con salida a balcón, comedor, cocina con comedor diario y acceso comedor, living y dormitorios.  Un dormitorio en Suite con salida a otro balcón, 2 dormitorios más (o 1 y escritorio), baño completo, sala de estar o Play. Tiene lavadero separado, dependencia de Servicio con su baño.  Entrada principal y de servicio ambas con puertas blindadas.  Seguridad de Viernes a Domingo.  Termotanque y losa radiante individual.  Cochera fija y Baulera.  APTO CREDITO  Martillero: RAÚL HÉCTOR MERLO CUCICBA 2407 / CSI 5438   Todas las propiedades que figuran en mi perfil se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él. ;VENTA PISO JULIAN ALVAREZ Y JUNCAL. APTO CREDITO
apartment;Palermo;Capital Federal;-34.58489;-58.419;95000.0;USD;1676227.5;95000.0;;43.0;;2209.3023255813955;;2.0;;http://www.properati.com.ar/15el1_venta_departamento_palermo_placard_subte-linea-d_re-max-ayres;Corredor Responsable: Raul Hector Merlo - CUCICBA 2407Contacto: Cora Solari - MLS ID # 61096-40Departamento de dos ambientes en Palermo.  Gûemes entre Malabia y Armenia.  43mt. totales, departamento interno.  Todos los ambientes tienen ventana al exterior (pulmon de manzana) Dormitorio con placard. Pisos de madera.  Expensas aproximadas de $700,  ;VENTA 2 AMBIENTES PALERMO
apartment;Palermo;Capital Federal;-34.571149600000005;-58.4232966;310000.0;USD;5469795.0;310000.0;106.0;100.0;2924.528301886793;3100.0;;3.0;;http://www.properati.com.ar/15fbi_venta_departamento_palermo_balcon_baulera_lujoso_dependencias_garage_empresse-propiedades_ej9;EXCELENTE, SEMIPISO, AL CONTRAFRENTE, A METROS DE PLAZA LAS HERAS, SON 105 M2 + COCHERA FIJA + BAULERA (EN JAULA), EDIFICIO DE CATEGORIA, PALIER PRIVADO Y DE SERVICIO, GRAN LIVING, BALCON A PULMON, 2 DORMITORIOS, DEPENDENCIA DE SERVICIO, COCINA CON COMEDOR DIARIO.;EXCELENTE SEMI PISO
